,date_time,temperature,pressure,humidity,wind_speed,wind_direction,visibility,co2,insolation,vertical_wind_speed,precipitation,10min,dewpoint
0,1994-09-11 17:20:00,13.93,715.0,\N,7.35,63.77,\N,\N,25.83,0.003,0.0,1,\N
1,1994-09-11 17:30:00,13.48,715.0,\N,7.29,62.89,\N,\N,22.08,0.016,0.0,1,\N
2,1994-09-11 17:40:00,13.67,715.0,\N,7.14,62.91,\N,\N,18.45,0.015,0.0,1,\N
3,1994-09-11 17:50:00,13.95,715.0,\N,7.31,72.3,\N,\N,14.95,0.056,0.0,1,\N
4,1994-09-11 18:00:00,13.85,715.0,\N,7.96,64.34,\N,\N,11.41,0.006,0.0,1,\N
5,1994-09-11 18:10:00,13.58,715.0,\N,8.49,62.73,\N,\N,7.53,0.094,0.0,1,\N
6,1994-09-11 18:20:00,13.31,716.0,\N,8.52,63.02,\N,\N,3.907,0.024,0.0,1,\N
7,1994-09-11 18:30:00,13.7,716.0,\N,8.48,67.85,\N,\N,1.418,0.045,0.0,1,\N
8,1994-09-11 18:40:00,13.32,716.0,\N,7.4,66.35,\N,\N,0.36,-0.009,0.0,1,\N
9,1994-09-11 18:50:00,13.06,716.0,\N,7.6,63.87,\N,\N,0.085,0.034,0.0,1,\N
10,1994-09-11 19:00:00,12.79,716.0,\N,8.16,62.07,\N,\N,-0.004,0.005,0.0,1,\N
11,1994-09-11 19:10:00,13.75,716.0,\N,8.5,71.6,\N,\N,-0.014,0.038,0.01,1,\N
12,1994-09-11 19:20:00,13.23,716.0,\N,8.08,71.9,\N,\N,-0.016,0.031,0.01,1,\N
13,1994-09-11 19:30:00,12.94,716.0,\N,7.88,67.98,\N,\N,-0.015,-0.011,0.01,1,\N
14,1994-09-11 19:40:00,13.47,716.0,\N,8.0,70.3,\N,\N,-0.015,0.037,0.0,1,\N
15,1994-09-11 19:50:00,13.57,717.0,\N,7.08,69.43,\N,\N,-0.015,-0.014,0.01,1,\N
16,1994-09-11 20:00:00,14.47,717.0,\N,8.4,75.1,\N,\N,-0.015,0.076,0.0,1,\N
17,1994-09-11 20:10:00,14.81,717.0,\N,8.66,73.6,\N,\N,-0.014,0.054,0.0,1,\N
18,1994-09-11 20:20:00,15.08,717.0,\N,9.12,73.9,\N,\N,-0.016,0.093,0.0,1,\N
19,1994-09-11 20:30:00,14.66,717.0,\N,9.16,72.1,\N,\N,-0.015,0.107,0.0,1,\N
20,1994-09-11 20:40:00,14.65,717.0,\N,7.21,70.3,\N,\N,-0.016,0.022,0.0,1,\N
21,1994-09-11 20:50:00,14.24,717.0,\N,7.24,59.33,\N,\N,-0.015,0.023,0.0,1,\N
22,1994-09-11 21:00:00,14.15,717.0,\N,8.09,61.36,\N,\N,-0.014,0.016,0.0,1,\N
23,1994-09-11 21:10:00,14.31,717.0,\N,8.35,62.47,\N,\N,-0.014,0.093,0.0,1,\N
24,1994-09-11 21:20:00,14.49,717.0,\N,7.43,68.51,\N,\N,-0.014,-0.01,0.0,1,\N
25,1994-09-11 21:30:00,14.32,717.0,\N,8.3,69.86,\N,\N,-0.015,-0.052,0.0,1,\N
26,1994-09-11 21:40:00,14.15,717.0,\N,7.98,69.64,\N,\N,-0.014,0.0,0.0,1,\N
27,1994-09-11 21:50:00,14.28,717.0,\N,7.65,67.26,\N,\N,-0.015,0.029,0.0,1,\N
28,1994-09-11 22:00:00,14.37,717.0,\N,8.06,69.57,\N,\N,-0.016,-0.024,0.0,1,\N
29,1994-09-11 22:10:00,14.73,717.0,\N,8.11,68.73,\N,\N,-0.015,0.059,0.0,1,\N
30,1994-09-11 22:20:00,14.92,717.0,\N,8.12,68.92,\N,\N,-0.015,0.043,0.0,1,\N
31,1994-09-11 22:30:00,15.27,717.0,\N,8.18,67.92,\N,\N,-0.014,0.024,0.0,1,\N
32,1994-09-11 22:40:00,15.11,717.0,\N,8.26,67.22,\N,\N,-0.013,0.032,0.0,1,\N
33,1994-09-11 22:50:00,15.25,717.0,\N,8.38,69.19,\N,\N,-0.012,0.023,0.0,1,\N
34,1994-09-11 23:00:00,15.42,717.0,\N,8.42,67.38,\N,\N,-0.013,0.059,0.0,1,\N
35,1994-09-11 23:10:00,15.21,717.0,\N,8.05,67.07,\N,\N,-0.014,0.072,0.0,1,\N
36,1994-09-11 23:20:00,15.35,717.0,\N,7.38,70.1,\N,\N,-0.014,0.051,0.0,1,\N
37,1994-09-11 23:30:00,15.58,717.0,\N,7.43,72.1,\N,\N,-0.013,0.025,0.0,1,\N
38,1994-09-11 23:40:00,15.93,717.0,\N,7.85,75.0,\N,\N,-0.014,0.098,0.0,1,\N
39,1994-09-11 23:50:00,15.94,716.0,\N,7.61,71.3,\N,\N,-0.013,0.098,0.0,1,\N
40,1994-09-12 00:00:00,15.95,716.0,\N,7.71,71.9,\N,\N,-0.013,0.029,0.0,1,\N
41,1994-09-12 00:10:00,15.9,716.0,\N,6.691,65.87,\N,\N,-0.014,0.021,0.0,1,\N
42,1994-09-12 00:20:00,15.88,716.0,\N,6.423,63.24,\N,\N,-0.015,-0.002,0.0,1,\N
43,1994-09-12 00:30:00,15.85,716.0,\N,6.346,62.76,\N,\N,-0.016,0.023,0.0,1,\N
44,1994-09-12 00:40:00,15.79,716.0,\N,6.255,60.86,\N,\N,-0.014,0.004,0.0,1,\N
45,1994-09-12 00:50:00,15.59,716.0,\N,6.564,60.48,\N,\N,-0.013,0.026,0.0,1,\N
46,1994-09-12 01:00:00,14.99,716.0,\N,6.073,56.81,\N,\N,-0.013,-0.006,0.0,1,\N
47,1994-09-12 01:10:00,14.92,716.0,\N,5.861,55.58,\N,\N,-0.013,-0.11,0.0,1,\N
48,1994-09-12 01:20:00,14.96,716.0,\N,5.973,52.05,\N,\N,-0.012,-0.245,0.0,1,\N
49,1994-09-12 01:30:00,14.33,716.0,\N,6.69,47.0,\N,\N,-0.015,-0.405,0.0,1,\N
50,1994-09-12 01:40:00,13.97,716.0,\N,6.401,55.08,\N,\N,-0.014,0.035,0.0,1,\N
51,1994-09-12 01:50:00,14.12,716.0,\N,6.91,55.31,\N,\N,-0.014,0.008,0.0,1,\N
52,1994-09-12 02:00:00,14.04,716.0,\N,6.643,54.36,\N,\N,-0.014,-0.015,0.0,1,\N
53,1994-09-12 02:10:00,13.68,716.0,\N,6.374,54.48,\N,\N,-0.013,-0.056,0.0,1,\N
54,1994-09-12 02:20:00,13.82,715.0,\N,6.138,55.04,\N,\N,-0.013,-0.058,0.0,1,\N
55,1994-09-12 02:30:00,13.77,715.0,\N,6.15,56.84,\N,\N,-0.014,0.02,0.0,1,\N
56,1994-09-12 02:40:00,14.03,715.0,\N,5.899,53.54,\N,\N,-0.014,-0.096,0.0,1,\N
57,1994-09-12 02:50:00,13.74,715.0,\N,6.656,54.08,\N,\N,-0.015,-0.028,0.0,1,\N
58,1994-09-12 03:00:00,14.09,715.0,\N,5.841,54.38,\N,\N,-0.015,-0.088,0.0,1,\N
59,1994-09-12 03:10:00,14.34,715.0,\N,6.04,55.5,\N,\N,-0.014,-0.058,0.0,1,\N
60,1994-09-12 03:20:00,13.63,715.0,\N,5.021,54.59,\N,\N,-0.013,-0.059,0.0,1,\N
61,1994-09-12 03:30:00,15.02,715.0,\N,4.798,56.45,\N,\N,-0.013,0.047,0.0,1,\N
62,1994-09-12 03:40:00,15.13,715.0,\N,5.795,59.2,\N,\N,-0.012,0.073,0.01,1,\N
63,1994-09-12 03:50:00,15.06,715.0,\N,6.31,56.18,\N,\N,-0.014,0.071,0.0,1,\N
64,1994-09-12 04:00:00,15.0,715.0,\N,5.85,56.01,\N,\N,-0.014,0.031,0.0,1,\N
65,1994-09-12 04:10:00,15.14,716.0,\N,5.384,54.56,\N,\N,-0.013,-0.051,0.0,1,\N
66,1994-09-12 04:20:00,15.08,715.0,\N,5.358,55.24,\N,\N,-0.012,0.029,0.0,1,\N
67,1994-09-12 04:30:00,15.16,715.0,\N,5.57,51.39,\N,\N,-0.013,-0.174,0.0,1,\N
68,1994-09-12 04:40:00,15.31,716.0,\N,5.031,49.68,\N,\N,-0.013,-0.185,0.0,1,\N
69,1994-09-12 04:50:00,15.46,716.0,\N,4.902,47.66,\N,\N,-0.012,-0.308,0.0,1,\N
70,1994-09-12 05:00:00,15.2,716.0,\N,5.426,47.56,\N,\N,-0.014,-0.36,0.0,1,\N
71,1994-09-12 05:10:00,15.32,716.0,\N,5.087,52.53,\N,\N,-0.013,-0.208,0.0,1,\N
72,1994-09-12 05:20:00,15.43,716.0,\N,4.869,55.72,\N,\N,-0.013,-0.007,0.0,1,\N
73,1994-09-12 05:30:00,15.77,716.0,\N,4.898,44.22,\N,\N,-0.013,-0.346,0.0,1,\N
74,1994-09-12 05:40:00,15.7,716.0,\N,4.931,48.14,\N,\N,-0.012,-0.318,0.0,1,\N
75,1994-09-12 05:50:00,15.62,716.0,\N,5.191,48.89,\N,\N,-0.01,-0.298,0.0,1,\N
76,1994-09-12 06:00:00,15.52,716.0,\N,5.68,46.27,\N,\N,0.029,-0.418,0.0,1,\N
77,1994-09-12 06:10:00,15.5,716.0,\N,5.2,47.08,\N,\N,0.213,-0.348,0.0,1,\N
78,1994-09-12 06:20:00,15.04,716.0,\N,5.274,53.22,\N,\N,0.63,-0.08,0.0,1,\N
79,1994-09-12 06:30:00,14.91,716.0,\N,5.335,55.3,\N,\N,1.901,0.009,0.0,1,\N
80,1994-09-12 06:40:00,15.26,716.0,\N,5.037,55.78,\N,\N,4.547,0.0,0.0,1,\N
81,1994-09-12 06:50:00,15.21,716.0,\N,5.163,56.64,\N,\N,8.32,-0.005,0.0,1,\N
82,1994-09-12 07:00:00,15.47,716.0,\N,4.795,55.01,\N,\N,12.43,0.038,0.0,1,\N
83,1994-09-12 07:10:00,15.71,716.0,\N,5.087,54.28,\N,\N,15.84,0.054,0.0,1,\N
84,1994-09-12 07:20:00,16.04,716.0,\N,4.547,51.87,\N,\N,19.37,-0.107,0.0,1,\N
85,1994-09-12 07:30:00,16.09,716.0,\N,5.016,55.66,\N,\N,23.05,0.078,0.0,1,\N
86,1994-09-12 07:40:00,16.15,716.0,\N,4.509,56.08,\N,\N,26.81,-0.039,0.0,1,\N
87,1994-09-12 07:50:00,16.1,717.0,\N,4.517,54.9,\N,\N,30.63,-0.026,0.0,1,\N
88,1994-09-12 08:00:00,16.19,717.0,\N,4.562,51.95,\N,\N,34.44,-0.046,0.0,1,\N
89,1994-09-12 08:10:00,15.91,717.0,\N,5.077,53.2,\N,\N,38.18,0.019,0.0,1,\N
90,1994-09-12 08:20:00,15.77,717.0,\N,5.721,55.35,\N,\N,41.87,0.055,0.0,1,\N
91,1994-09-12 08:30:00,15.77,717.0,\N,5.818,57.04,\N,\N,45.52,0.157,0.0,1,\N
92,1994-09-12 08:40:00,15.87,717.0,\N,6.112,56.87,\N,\N,49.11,0.14,0.0,1,\N
93,1994-09-12 08:50:00,16.3,717.0,\N,5.53,56.03,\N,\N,52.63,0.196,0.0,1,\N
94,1994-09-12 09:00:00,16.22,717.0,\N,6.099,52.85,\N,\N,56.04,0.167,0.0,1,\N
95,1994-09-12 09:10:00,16.92,717.0,\N,6.563,55.04,\N,\N,59.35,0.176,0.0,1,\N
96,1994-09-12 09:20:00,16.18,717.0,\N,5.881,54.9,\N,\N,62.45,0.019,0.0,1,\N
97,1994-09-12 09:30:00,16.01,717.0,\N,5.711,55.41,\N,\N,65.55,0.069,0.0,1,\N
98,1994-09-12 09:40:00,16.01,717.0,\N,4.875,60.18,\N,\N,68.49,0.007,0.0,1,\N
99,1994-09-12 09:50:00,15.71,716.0,\N,5.065,60.54,\N,\N,70.4,-0.03,0.0,1,\N
100,1994-09-12 10:00:00,15.2,716.0,\N,4.494,67.36,\N,\N,75.3,-0.085,0.0,1,\N
101,1994-09-12 10:10:00,15.55,716.0,\N,4.693,68.43,\N,\N,77.4,0.003,0.0,1,\N
102,1994-09-12 10:20:00,15.98,716.0,\N,5.219,67.31,\N,\N,78.5,0.104,0.0,1,\N
103,1994-09-12 10:30:00,16.21,716.0,\N,6.13,64.76,\N,\N,80.6,0.11,0.0,1,\N
104,1994-09-12 10:40:00,16.41,716.0,\N,6.044,68.5,\N,\N,83.1,0.243,0.0,1,\N
105,1994-09-12 10:50:00,16.14,717.0,\N,6.159,69.2,\N,\N,79.6,0.15,0.0,1,\N
106,1994-09-12 11:00:00,16.7,717.0,\N,5.585,68.6,\N,\N,88.3,0.123,0.0,1,\N
107,1994-09-12 11:10:00,16.82,717.0,\N,5.912,67.47,\N,\N,90.5,0.079,0.0,1,\N
108,1994-09-12 11:20:00,17.07,716.0,\N,5.294,64.68,\N,\N,91.1,0.006,0.0,1,\N
109,1994-09-12 11:30:00,17.22,717.0,\N,5.387,66.08,\N,\N,82.9,0.146,0.0,1,\N
