date,Green,Yellow,Red
1997-01-01,,,23.833333333333332
1997-01-02,4.5,3.8333333333333335,15.666666666666666
1997-01-03,,1.8333333333333333,22.166666666666668
1997-01-04,1.8333333333333333,3.6666666666666665,18.5
1997-01-05,5.833333333333333,0.8333333333333334,17.333333333333332
1997-01-06,23.833333333333332,0.16666666666666666,
1997-01-07,10.0,8.666666666666666,5.333333333333333
1997-01-08,24.0,,
1997-01-09,24.0,,
1997-01-10,24.0,,
1997-01-11,24.0,,
1997-01-12,22.833333333333332,1.1666666666666667,
1997-01-13,11.5,10.333333333333334,2.1666666666666665
1997-01-14,23.333333333333332,0.6666666666666666,
1997-01-15,20.166666666666668,2.0,1.8333333333333333
1997-01-16,2.1666666666666665,0.8333333333333334,21.0
1997-01-17,14.333333333333334,2.1666666666666665,7.5
1997-01-18,24.0,,
1997-01-19,13.833333333333334,6.833333333333333,3.3333333333333335
1997-01-20,2.6666666666666665,4.0,17.333333333333332
1997-01-21,3.8333333333333335,7.0,13.166666666666666
1997-01-22,,0.3333333333333333,23.666666666666668
1997-01-23,,4.166666666666667,19.833333333333332
1997-01-24,8.833333333333334,6.0,9.166666666666666
1997-01-25,22.166666666666668,1.8333333333333333,
1997-01-26,3.3333333333333335,11.0,9.666666666666666
1997-01-27,7.666666666666667,8.166666666666666,8.166666666666666
1997-01-28,0.16666666666666666,0.5,23.333333333333332
1997-01-29,2.0,6.833333333333333,15.166666666666666
1997-01-30,23.0,1.0,
1997-01-31,24.0,,
1997-02-01,24.0,,
1997-02-02,24.0,,
1997-02-03,21.5,2.5,
1997-02-04,24.0,,
1997-02-05,24.0,,
1997-02-06,24.0,,
1997-02-07,23.833333333333332,,0.16666666666666666
1997-02-08,24.0,,
1997-02-09,23.166666666666668,0.8333333333333334,
1997-02-10,22.666666666666668,1.3333333333333333,
1997-02-11,17.833333333333332,6.166666666666667,
1997-02-12,24.0,,
1997-02-13,24.0,,
1997-02-14,24.0,,
1997-02-15,18.333333333333332,3.6666666666666665,2.0
1997-02-16,1.1666666666666667,7.0,15.833333333333334
1997-02-17,22.5,1.5,
1997-02-18,24.0,,
1997-02-19,24.0,,
1997-02-20,23.333333333333332,0.6666666666666666,
1997-02-21,24.0,,
